theme_id,theme_name,content_order,content_idx,parent_category_idx,title,summary,image_url,reg_dt,view_count,content_url
150781,원자력,2,40614,1,브레이크 걸린 '한국형 원전 수출' 해법 나올까,"✔한·미 양국 정산, 한수원-WH 원전 분쟁 합의할까
✔한국형 SMR '스마트' 해외진출길 열려... 캐나다 앨버타주와 배대면 협약",2023042014020923.jpg,2023-04-20 14:02:16,1083,https://finance.finup.co.kr/content/40614
165277,의료AI,1,62730,1,'의료 AI' 시장 급성장 기대감에 외국인 매수세 몰려 ,"✔️국내 '의료 AI 관련주' 연일 신고가 경신
✔️식약처, 국내 AI 의료기기 규제 완화 나서",2023090614235980.png,2023-09-06 14:23:57,1116,https://finance.finup.co.kr/content/62730
165277,의료AI,2,49486,1,"AI 도입 필수시대 '의료 AI' 주목... ""의료 분야 AI 채택 가장 빠를 것""","✔️AI 열풍 속 루닛∙뷰노 등 의료 AI 관련주 강세
✔️옴디아 ""2027년까지 의료분야 AI 채택 가장 빠르게 증가할 것""",2023061614242747.jpg,2023-06-16 14:24:27,937,https://finance.finup.co.kr/content/49486
162887,AI(인공지능),1,71958,1,"윤석열 대통령 ""교육 혁신운 지역이 주도"" 발언에 교육 관련 테마 상승  [데일리 이슈]",,20231103111559910.png,2023-11-03 11:15:58,1095,https://finance.finup.co.kr/content/71958
162887,AI(인공지능),2,56912,1,"구글·아마존 등 빅테크 기업, 생성형 AI 도입에 '속도'","✔️구글·아마존, 전통 디지털 비서 →생성형 AI로 탈바꿈
✔️델(DELL), 엔비디아와 손잡고 생성형 AI 솔루션 출시 ",20230801142338732.png,2023-08-01 14:23:40,1009,https://finance.finup.co.kr/content/56912
3378,수소차,1,12734,1,"정부, 세계 1등 수소산업 육성 본격화... ""2030년까지 수소차  3만대 보급""","✔윤석열 정부 출범 이후 첫 수소경제위원회 개최... 수소경제 '3대 성장 전략' 발표
✔커지는 수소차 시장... 폭스바겐·BMW도 수소차 양산",20221110121703335.jpg,2022-11-10 12:17:03,5306,https://finance.finup.co.kr/content/12734
3378,수소차,2,521,1,"尹 정부, 수소 생태계 만들기 적극적 행보","정부는 우선 다음 달 수소경제위원회를 개최하고 구체적인 수소 활성화 정책을 다룰 예정인데요. 회의에선 수소 경제 생태계 구축에 대한 세부 계획을 구체화할 계획이며, 오는 12월 발효되는 수소 경제 육성 및 수소 안전관리법(수소법) 하위 법령과 관련한 세부 사항도 논의할 전망입니다.",/Files/Contents/Editor/20220826012019530.PNG,2022-08-26 13:23:08,740,https://finance.finup.co.kr/content/521
165042,반도체 HBM,1,51584,1,"HBM 수요 강세, 마이크론 실적 발표에 '반도체 업황 바닥론' 힘실려","✔️글로벌 시장조사업체 트렌드포스 ""올해 HBM 수요 60% 성장"" 전망
✔️마이크론 실적 발표에 힘실리는 '반도체 업황 바닥론'",2023062914321460.jpg,2023-06-29 14:32:16,916,https://finance.finup.co.kr/content/51584
166306,초전도체,1,59356,1,"퀀텀에너지연구소 ""1차원 구리원자 사슬에서 초전도 현상"" 수정 논문 공개","✔️퀀텀에너지연구소, 초전도성 주장하는 수정 논문 공개
✔️과기정통부 산하 광주과학기술원(지스트), 초전도체 검증 나서 ",20230816141535125.png,2023-08-16 14:15:35,1099,https://finance.finup.co.kr/content/59356
166306,초전도체,2,59026,1,"""LK-99 초전도체 맞다"" SNS 옹호론 등장… 국내 초전도학회 '이르면 9월 초 결론'","✔️LK-99 상온 초전도체 옹호론 등장에 주식시장 '또' 들썩
✔️한국초전도저온학회, 2주 내 LK-99 재현 시료 나온다",20230814133045757.png,2023-08-14 13:30:45,582,https://finance.finup.co.kr/content/59026
150775,제약/바이오,1,55136,1,"미래먹거리 '바이오 경제' 선점 경쟁 치열... ""2030년 바이오 생산 100조원 목표""","✔️정부, 2030년 바이오 생산 100조원 · 바이오 수출 500억 달러 목표
✔️글로벌 AI 신약개발 경쟁 치열... 연평균 46% 성장
",20230721142806478.png,2023-07-21 14:28:10,2620,https://finance.finup.co.kr/content/55136
150775,제약/바이오,2,19213,1,中 감기약 사재기 대란에 품귀 사태까지... 감기약 가격 인상 전망,"✔중국, 위드 코로나 전환에 발열 환자 급증
✔중국, 감기약 사재기 대란에 품귀 사태까지 발생... 국내 악영향
✔GC녹십자 탁센 등 내년 감기약 가격 인상 전망",20221213121051908.jpg,2022-12-13 12:10:52,3639,https://finance.finup.co.kr/content/19213
