symbol,name,entry_date,entry_price,qty,primary_outcome,hold_days,gross_pnl,n_exits,first_exit_date,first_exit_reason,first_exit_price
319400,현대무벡스,2025-12-23,16200,61,tp_only,1,+198431,3,2025-12-24,tp1,18144
090710,휴림로봇,2024-05-13,3135,318,sl_only,17,-87058,1,2024-05-30,stop_loss,2861
090710,휴림로봇,2025-02-19,2845,351,sl_only,8,-159775,1,2025-02-27,stop_loss,2390
010170,대한광통신,2025-07-01,923,1083,tp_only,7,+75685,2,2025-07-08,tp1,1002
010170,대한광통신,2025-08-05,1004,996,tp_only,1,+32649,1,2025-08-06,tp1,1103
010170,대한광통신,2025-09-11,1531,653,sl_only,29,-159959,1,2025-10-10,stop_loss,1286
010170,대한광통신,2025-12-12,2271,440,tp_only,21,+200647,3,2026-01-02,tp1,2544
010170,대한광통신,2026-02-23,4140,241,tp_only,1,+39511,1,2026-02-24,tp1,4637
356680,엑스게이트,2025-02-07,9350,106,tp_only,4,+38336,1,2025-02-11,tp1,10446
